source hash,source chain,destination chain,source contract,target contract,total fee in ETH,min total fee in ETH,max total fee in ETH,native fee in ETH,gas fee in ETH,curr gas price,min gas price,max gas price,source chain gas used,start time,end time,elapsed time in seconds,messages
0x59795f7a33352f56ddf0714d9722fb09fb14cee0c10b7aff12025213a75618d9,opBNB,Mantle,MyOApp(30202:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),MyOApp(30181:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),0.000873961757027863(0.6177161698672935$),0.000565368623027863(0.3996025427560936)$,0.001182760755380935(0.8359753019032449)$,0.000565162755380935,0.000308799001646928,1500000008,1000008,3000000000,205866,2024-06-11T10:35:50.432Z,2024-06-11T10:36:41.638Z,51.206,"[{""srcUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""dstUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""updated"":1718102194,""created"":1718102170,""srcChainId"":30202,""dstChainId"":30181,""srcTxHash"":""0x59795f7a33352f56ddf0714d9722fb09fb14cee0c10b7aff12025213a75618d9"",""srcBlockHash"":""0x8a534086ad83d7a786a60075c71650c5af57bb7cb785e4396913b3b69c83ea9d"",""srcBlockNumber"":""26348435"",""srcUaNonce"":5,""status"":""INFLIGHT""}]"
0x27437cbf91e1b194d8329f4ae8770a384e0772a2ead23c11bb55fe5063aaaefa,Mantle,opBNB,MyOApp(30181:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),MyOApp(30202:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),1.367937137795505605(1.3952958805514157$),0.141761365295505605(0.14459659260141572)$,2.577763899995505605(2.629319177995416)$,0.125412354995505605,1.2425247828,1520000000,20000000,3000000000,817450515,2024-06-11T10:36:43.119Z,2024-06-11T10:37:31.509Z,48.39,"[{""srcUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""dstUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""updated"":1718102251,""created"":1718102218,""srcChainId"":30181,""dstChainId"":30202,""srcTxHash"":""0x27437cbf91e1b194d8329f4ae8770a384e0772a2ead23c11bb55fe5063aaaefa"",""srcBlockHash"":""0xb0da0b92e784469653d1fd2adb83b242e4a0ac439cf4a801c1ce3bc3f28aa064"",""srcBlockNumber"":""64985949"",""srcUaNonce"":4,""status"":""INFLIGHT""}]"
0xe78b7a8f03cd66ce41a9262c00662256b39dbe0730e3428090dc7dd57a6e1b6d,Arbitrum One,Mantle,MyOApp(110:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),MyOApp(30181:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),0.000028719381709959(0.02029885899259902$),0.000028710729499959(0.02029274361057102)$,0.000028710729499959(0.02029274361057102)$,0.000025826659499959,0.00000289272221,10030000,10000000,10000000,288407,2024-06-11T06:56:19.533Z,2024-06-11T06:57:01.488Z,41.955,"[{""srcUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""dstUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""updated"":1718089020,""created"":1718088988,""srcChainId"":30110,""dstChainId"":30181,""srcTxHash"":""0xe78b7a8f03cd66ce41a9262c00662256b39dbe0730e3428090dc7dd57a6e1b6d"",""srcBlockHash"":""0x23c820d6a36e333738427114ffe5df29a08a6316510ec2648c08aec323118b73"",""srcBlockNumber"":""220648372"",""srcUaNonce"":1,""status"":""INFLIGHT""}]"
0xfd0bb0581b3bdfd5f6e85d630361fcc5578f715ee82c453906786e05f0ddece3,Arbitrum One,opBNB,MyOApp(110:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),MyOApp(30202:0xB996a7F25059e4A1a32F37A3F34187E1A618840D),0.000035938993510779(0.13707275880985154$),0.000035938993510779(0.13707275880985154)$,0.001491480493510779(5.688566261469852)$,0.000032318243510779,0.00000362075,10000000,10000000,4030000000,362075,2024-06-11T10:39:14.595Z,2024-06-11T10:39:54.905Z,40.31,"[{""srcUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""dstUaAddress"":""0xb996a7f25059e4a1a32f37a3f34187e1a618840d"",""updated"":1718102395,""created"":1718102364,""srcChainId"":30110,""dstChainId"":30202,""srcTxHash"":""0xfd0bb0581b3bdfd5f6e85d630361fcc5578f715ee82c453906786e05f0ddece3"",""srcBlockHash"":""0xb955ab744ea8f11be1b48c6e98b6e57146215a24ecc9b53adb09271a3e1e04cf"",""srcBlockNumber"":""220701736"",""srcUaNonce"":1,""status"":""INFLIGHT""}]"
