source hash,source chain,destination chain,source contract,target contract,total fee in ETH,min total fee in ETH,max total fee in ETH,native fee in ETH,gas fee in ETH,curr gas price,min gas price,max gas price,source chain gas used,start time,end time,elapsed time in seconds,messages
0xf8b9a9c594bbd052efa1476c849062d73eae0208a1991c46a398da69455a7529,Mantle Sepolia Testnet,Base Sepolia,MyOApp(40246:0x5E21dceF7E8bfD3f52C73948ef0cB150314AD5F9),MyOApp(40245:0xA6D3843B19ca446d626d6d2D50A6BDEF3f996da6),1.442277952045098118(1.5730925622955885$),0.228550451545098118(0.24927997750023853)$,0.228550451545098118(0.24927997750023853)$,0.212367418205098118,1.22991053384,1520000000,20000000,20000000,809151667,2024-06-11T04:14:10.058Z,2024-06-11T04:15:33.614Z,83.556,"[{""srcUaAddress"":""0x5e21dcef7e8bfd3f52c73948ef0cb150314ad5f9"",""dstUaAddress"":""0xa6d3843b19ca446d626d6d2d50a6bdef3f996da6"",""updated"":1718079322,""created"":1718079275,""srcChainId"":40246,""dstChainId"":40245,""dstTxHash"":""0x1187a9aafdebbf46dad967890a1c4975852bde00fde6f00faa3d12184854bd30"",""srcTxHash"":""0xf8b9a9c594bbd052efa1476c849062d73eae0208a1991c46a398da69455a7529"",""srcBlockHash"":""0x40f677713014d532d8ec98025a867025c1523c0078900a7d00aa55f60d69476d"",""srcBlockNumber"":""8267296"",""srcUaNonce"":3,""status"":""DELIVERED""}]"
0xe0e7bc38bb8503587ba236cf242608493a38d570dcfeea2e450df2ddf55e8e34,Mantle Sepolia Testnet,Arbitrum Sepolia,MyOApp(40246:0x5E21dceF7E8bfD3f52C73948ef0cB150314AD5F9),MyOApp(40231:0xF2a526937979DFf928Bf5637114B5Ba02815b439),2.334584013300426825(2.5463307833067756$),1.017053781300426825(1.1093005592643754)$,1.017053781300426825(1.1093005592643754)$,0.999486711540426825,1.33509730176,1520000000,20000000,20000000,878353488,2024-06-11T04:15:34.661Z,2024-06-11T04:16:49.454Z,74.793,"[{""srcUaAddress"":""0x5e21dcef7e8bfd3f52c73948ef0cb150314ad5f9"",""dstUaAddress"":""0xf2a526937979dff928bf5637114b5ba02815b439"",""updated"":1718079396,""created"":1718079356,""srcChainId"":40246,""dstChainId"":40231,""dstTxHash"":""0xe31ae812cbfa512550acbb62c165d5e9528e4f86aa5147910e7962939ea798f3"",""srcTxHash"":""0xe0e7bc38bb8503587ba236cf242608493a38d570dcfeea2e450df2ddf55e8e34"",""srcBlockHash"":""0xd7495b6807d042f4307cfcb4e9c9f60fc3e8d396f79e7e81319403cc0225a829"",""srcBlockNumber"":""8267338"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
0xd27a6f86200ef4f7314c5d0c24a41ecd11b30fe62ec40356be2c79c5c9e4d5a3,Base Sepolia,Mantle Sepolia Testnet,MyOApp(40245:0xA6D3843B19ca446d626d6d2D50A6BDEF3f996da6),MyOApp(40246:0x5E21dceF7E8bfD3f52C73948ef0cB150314AD5F9),0.000388164608377785(0.00042337113835765007$),0.002044689548742885(0.0022301428908138646)$,0.002707299548742885(0.002952851617813865)$,0.000056859548742885,0.0003313050596349,1500000270,9000000000,12000000000,220870,2024-06-11T04:16:50.462Z,2024-06-11T04:18:21.877Z,91.415,"[{""srcUaAddress"":""0xa6d3843b19ca446d626d6d2d50a6bdef3f996da6"",""dstUaAddress"":""0x5e21dcef7e8bfd3f52c73948ef0cb150314ad5f9"",""updated"":1718079488,""created"":1718079433,""srcChainId"":40245,""dstChainId"":40246,""dstTxHash"":""0xc0e5359ae17371144542da6b950f0af8472a9c8458fdea758e134235b782fd21"",""srcTxHash"":""0xd27a6f86200ef4f7314c5d0c24a41ecd11b30fe62ec40356be2c79c5c9e4d5a3"",""srcBlockHash"":""0xbdd2b4f02b7f206b278f7057cb76b4f1e7abd180df5e3cf19f3d1ccebbe9cf7c"",""srcBlockNumber"":""11155566"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
0xe3cd881b93316c82f39931229e5f6feaccf22fd09de8264c3089bbadac84ca5f,Base Sepolia,Arbitrum Sepolia,MyOApp(40245:0xA6D3843B19ca446d626d6d2D50A6BDEF3f996da6),MyOApp(40231:0xF2a526937979DFf928Bf5637114B5Ba02815b439),0.000596798358607264(0.0006509279697329427$),0.002253398298969664(0.0024577815246862125)$,0.002916038298969664(0.0031805229726862123)$,0.000265478298969664,0.0003313200596376,1500000270,9000000000,12000000000,220880,2024-06-11T04:18:22.983Z,2024-06-11T04:19:20.981Z,57.998,"[{""srcUaAddress"":""0xa6d3843b19ca446d626d6d2d50a6bdef3f996da6"",""dstUaAddress"":""0xf2a526937979dff928bf5637114b5ba02815b439"",""updated"":1718079556,""created"":1718079525,""srcChainId"":40245,""dstChainId"":40231,""dstTxHash"":""0x4367e4543a85954a923567a1b9a44c051356b1c134d02acad066a4a252912918"",""srcTxHash"":""0xe3cd881b93316c82f39931229e5f6feaccf22fd09de8264c3089bbadac84ca5f"",""srcBlockHash"":""0x4b7e5f72d863049ad014526bf033558950e59db006e0a5f1274ae91a05014e79"",""srcBlockNumber"":""11155612"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
0x3feaed47225bd3ea528c65ee481b4e8c8d6faaf78778146ef00af6ae0d6dee8f,Arbitrum Sepolia,Mantle Sepolia Testnet,MyOApp(40231:0xF2a526937979DFf928Bf5637114B5Ba02815b439),MyOApp(40246:0x5E21dceF7E8bfD3f52C73948ef0cB150314AD5F9),0.000083556048742885(0.00009113458236386466$),0.000059529198742885(0.00006492849706886468)$,0.000059529198742885(0.00006492849706886468)$,0.000056859548742885,0.0000266965,100000000,10000000,10000000,266965,2024-06-11T04:19:22.045Z,2024-06-11T04:21:06.559Z,104.514,"[{""srcUaAddress"":""0xf2a526937979dff928bf5637114b5ba02815b439"",""dstUaAddress"":""0x5e21dcef7e8bfd3f52c73948ef0cb150314ad5f9"",""updated"":1718079649,""created"":1718079581,""srcChainId"":40231,""dstChainId"":40246,""dstTxHash"":""0x9e6f06563080871bc7b9f58212c523c3fcfe0a4387b26bafa044cebef7b0f326"",""srcTxHash"":""0x3feaed47225bd3ea528c65ee481b4e8c8d6faaf78778146ef00af6ae0d6dee8f"",""srcBlockHash"":""0x57d0d58f1c67fa224c7ff924ff52d0cf2b34bd8643894f8a59e046b2fbe4db55"",""srcBlockNumber"":""53458787"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
0x23c67be3c3071097a415cd4e9e7753dd33ec4233e55fad7984f10e156a55204b,Arbitrum Sepolia,Base Sepolia,MyOApp(40231:0xF2a526937979DFf928Bf5637114B5Ba02815b439),MyOApp(40245:0xA6D3843B19ca446d626d6d2D50A6BDEF3f996da6),0.000083734994139395(0.00009132975810783812$),0.000059719754139395(0.00006513633583983812)$,0.000059719754139395(0.00006513633583983812)$,0.000057051394139395,0.0000266836,100000000,10000000,10000000,266836,2024-06-11T04:21:07.608Z,2024-06-11T04:22:45.738Z,98.13,"[{""srcUaAddress"":""0xf2a526937979dff928bf5637114b5ba02815b439"",""dstUaAddress"":""0xa6d3843b19ca446d626d6d2d50a6bdef3f996da6"",""updated"":1718079733,""created"":1718079685,""srcChainId"":40231,""dstChainId"":40245,""dstTxHash"":""0xb5d2d3d241c7f33bc048b9805b08404123f0cd8972b5f4e2a155ec036d09b258"",""srcTxHash"":""0x23c67be3c3071097a415cd4e9e7753dd33ec4233e55fad7984f10e156a55204b"",""srcBlockHash"":""0x45f83b7c8af06e408367aa0ac5d06d559a752a4c68d8db31bc50e6c4bccf3375"",""srcBlockNumber"":""53459223"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
