tx hash on source chain,source chain,destination chain,source contract,target contract,total fee in native token,total fee in USD,min total fee in native token,min total fee in USD,max total fee in native token,max total fee in USD,native fee in native token,native fee in USD,gas fee in native token,gas fee in USD,curr gas price,min gas price,max gas price,source chain gas used,start time,end time,elapsed time in seconds,messages
0x92db21d62205134c937b2c62956589a31b42f94ca0338b87c99a99afd8b4ebd6,Mantle Sepolia Testnet,Arbitrum Sepolia,MyOApp(40246:0x1e9642162b777F8665acD488cE5A0bA70C8cadB6),MyOApp(40231:0x8F7aCaf991c84A1EDcc8ce580AcbD041FcBa1D08),0.472165428943408769 ETH,$ 0.48160873752227695,0.472165428943408769,$ 0.48160873752227695,4.382537228903408769 ETH,$ 4.470187973481477,0.445921322903408769 ETH,$ 0.4548397493614769,0.02624410604,$ 0.0267689881608,0.02(gwei),0.02(gwei),3.0(gwei),1312205302,2024-06-13T08:05:23.136Z,2024-06-13T08:06:27.625Z,64.489,"[{""srcUaAddress"":""0x1e9642162b777f8665acd488ce5a0ba70c8cadb6"",""dstUaAddress"":""0x8f7acaf991c84a1edcc8ce580acbd041fcba1d08"",""updated"":1718265979,""created"":1718265952,""srcChainId"":40246,""dstChainId"":40231,""dstTxHash"":""0xbdc56a10fc9b87773f51e61b45ccb65a22f8d698def7d7d36aae8bc83dd69a35"",""srcTxHash"":""0x92db21d62205134c937b2c62956589a31b42f94ca0338b87c99a99afd8b4ebd6"",""srcBlockHash"":""0xce8ca43f7b6c43a9b9efd9cd2065b2b648717f6a0c291b920afd186b04163de5"",""srcBlockNumber"":""8360634"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
0xd97fb8551b62f2a1193d873071610dcbf78adfb9f2c4d2a10a73f255b1b792cf,Arbitrum Sepolia,Mantle Sepolia Testnet,MyOApp(40231:0x8F7aCaf991c84A1EDcc8ce580AcbD041FcBa1D08),MyOApp(40246:0x1e9642162b777F8665acD488cE5A0bA70C8cadB6),0.000139815521076938 ETH,$ 0.5332619900082846,0.000016529921076938,$ 0.06304578018428461,0.005523286721076938 ETH,$ 21.066036485656284,0.000002831521076938 ETH,$ 0.01079953464828461,0.000136984,$ 0.5224624553599999,0.1(gwei),0.01(gwei),4.03(gwei),1369840,2024-06-13T08:06:34.561Z,2024-06-13T08:08:24.423Z,109.862,"[{""srcUaAddress"":""0x8f7acaf991c84a1edcc8ce580acbd041fcba1d08"",""dstUaAddress"":""0x1e9642162b777f8665acd488ce5a0ba70c8cadb6"",""updated"":1718266095,""created"":1718266037,""srcChainId"":40231,""dstChainId"":40246,""dstTxHash"":""0x301a16e20e21f5d840f4277edcc4798e83fc70b9bd4f81e83987b930c3187d1e"",""srcTxHash"":""0xd97fb8551b62f2a1193d873071610dcbf78adfb9f2c4d2a10a73f255b1b792cf"",""srcBlockHash"":""0x3e211bc7fe9c510817870ca24d4650c74d93cef240a7416d26828fc805d29171"",""srcBlockNumber"":""54204447"",""srcUaNonce"":1,""status"":""DELIVERED""}]"
